sequence_id,decision,auto_start_s,auto_second_s,auto_done_s,auto_third_s,manual_start_s,manual_second_s,manual_done_s,manual_third_s,target_object_id,receiving_hand,annotation_confidence,missing_commands,status,next_action,notes
Test_5_20260624_122509,manual_fix,0.0,14.496,17.984,21.472,0.000,,,,9,right,certain,,missing_hand_tracking,download_or_process_mps,
Test_6_20260624_122607,manual_fix,0.0,15.2,19.584,23.584,0.000,,,,9,right,certain,,missing_hand_tracking,download_or_process_mps,
Test_7_20260601_165002,exclude,,,,,,,,,,,,START;SECOND;DONE;THIRD,missing_vrs,download_vrs,
Test_7_20260624_122709,manual_fix,0.0,15.136,18.816,,0.000,,,19.598,14,right,certain,THIRD,missing_hand_tracking,download_or_process_mps,
Unknown_2_20260616_141751,exclude,,,,,0.000,,,,,,,START;SECOND;DONE;THIRD,missing_vrs,download_vrs,
Urim_10_20260616_145015,,1.312,26.208,32.832,35.808,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Urim_1_20260604_160102,,1.472,27.296,33.024,35.68,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Urim_2_20260604_160234,,1.696,11.68,16.544,20.064,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Urim_3_20260604_160345,,1.248,20.32,26.56,28.928,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Urim_4_20260604_160502,,1.44,22.304,28.928,31.392,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Urim_5_20260604_160634,,1.536,23.712,31.072,33.216,,,,,13,right,certain,,valid_with_warnings,annotate_sequence,
Urim_6_20260616_144055,,1.6,23.968,28.192,30.656,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Urim_7_20260616_144229,,1.728,23.104,28.256,30.176,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Urim_8_20260616_144352,,1.632,23.936,29.024,31.424,,,,,6,right,certain,,valid_with_warnings,annotate_sequence,
Urim_9_20260616_144841,,3.168,27.68,33.696,35.744,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Vanessa_1_20260624_132542,manual_fix,,26.336,,33.792,0.000,,31.063,,14,right,certain,START;DONE,partial_timestamps,fix_timestamps,
Vanessa_2_20260624_132710,manual_fix,,27.264,,29.824,0.000,,31.729,33.365,12,right,certain,START;DONE,partial_timestamps,fix_timestamps,
Vanessa_3_20260624_132807,manual_fix,,34.848,38.944,40.448,0.000,,,,14,right,certain,START,partial_timestamps,fix_timestamps,
Vanessa_4_20260624_132943,manual_fix,,18.976,,,0.000,23.562,26.829,27.763,11,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Vanessa_5_20260624_133059,manual_fix,,24.544,30.816,31.968,0.000,26.945,,31.631,9,right,certain,START,partial_timestamps,fix_timestamps,
Vanessa_6_20260624_133209,manual_fix,0.0,27.008,32.045,32.497,0.000,,31.830,32.497,12,right,certain,,valid_with_warnings,manual_review,
Vanessa_7_20260624_133405,manual_fix,,23.136,,,0.000,23.434,27.600,28.032,8,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Vanessa_8_20260624_133505,manual_fix,,32.448,,,0.000,32.308,35.513,36.031,11,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Yuzhi_10_20260715_135531,manual_fix,,12.16,16.192,19.488,0.000,,,,7,left,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_1_20260715_134210,manual_fix,,16.768,22.432,25.44,0.000,,,,13,right,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_2_20260715_134641,manual_fix,,13.568,18.08,20.864,0.000,,,,13,right,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_3_20260715_134755,manual_fix,,13.152,17.728,21.824,0.000,,,,12,right,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_4_20260715_134842,manual_fix,,16.256,19.168,21.664,0.000,,,,8,right,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_5_20260715_134954,manual_fix,,13.088,17.76,21.216,0.000,,,,10,left,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_6_20260715_135122,manual_fix,,16.864,20.192,22.944,0.000,,,,10,left,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_7_20260715_135245,manual_fix,,10.976,17.024,20.864,0.000,,,,8,left,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_8_20260715_135404,manual_fix,,10.112,12.768,16.16,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Yuzhi_9_20260715_135444,manual_fix,,16.448,20.832,24.512,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
david_7_20260715_141225,manual_fix,,22.976,27.456,30.432,0.000,,,,11,left,certain,START,partial_timestamps,fix_timestamps,
david_8_20260715_141314,manual_fix,,23.936,28.288,32.352,0.000,,,32.243,12,left,certain,START,partial_timestamps,fix_timestamps,
david_9_20260715_141411,manual_fix,,26.496,33.024,35.52,0.000,,,,9,left,certain,START,partial_timestamps,fix_timestamps,
unknown_20260604_150319,exclude,,,,,0.000,,,,,,,START;SECOND;DONE;THIRD,missing_vrs,download_vrs,
